微博链接,时间,地址,经度,纬度,微博内容,紧急,分类,已过期或已删除,是否为有效信息,审核人,经纬度已人工矫正,勿动_机器分类_有效,,,,,,,
https://m.weibo.cn/detail/4661682158438876,Thu Jul 22 08:51:39 +0800 2021,河南省郑州市刘寨镇,113.535054,34.544897,【150余名武警官兵在新密筑堤，急需打地铺的垫子】#河南暴雨互助#7月21日，河南新密。受持续暴雨影响，五星水库堤坝后侧发生坍塌后，150余名武警官兵赶赴现场加固大坝。官兵们已连续奋战两天，目前，急需170个用于打地铺的垫子150余名武警官兵在新密筑堤，急需打地铺的垫子  澎湃视频的微博视频 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661683052088873,Thu Jul 22 08:55:12 +0800 2021,河南省郑州市刘寨镇,113.535054,34.544897,【150余名武警官兵在新密筑堤，急需打地铺的垫子】#河南暴雨互助#7月21日，河南新密。受持续暴雨影响，五星水库堤坝后侧发生坍塌后，150余名武警官兵赶赴现场加固大坝。官兵们已连续奋战两天，目前，急需170个用于打地铺的垫子。@澎湃视频 澎湃视频的微博视频 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661578199204697,Thu Jul 22 01:58:33 +0800 2021,河南省郑州市崔庙镇,113.330888,34.643464,河南暴雨互助#河南暴雨##河南暴雨救援# 【需紧急救援】联络到，未被救援！15225098576山体滑坡、房子被夷为平地。一对年轻母女(女婴四个月大)和一对中年母子被困30多个小时。我们现在需要专业的救援队以及大型救援设备，例如挖掘机吊车，因为山体滑坡造成房子坍塌需要大型设备从废墟中找出口救人。请求援救队支援！位置为荥阳市王宗店村文化广场——,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661661350234148,Thu Jul 22 07:28:58 +0800 2021,河南省郑州市崔庙镇,113.330888,34.643464,#河南暴雨互助# 代发投稿，已核实地址：河南省荥阳市王宗店村文化广场（或者搜索南头组）人数：已知三位，还有未知人数情况：我妈和我弟已经被埋在废墟下两天了，请尽快安排救援人员进行施救，时间就是生命超过24个小时，联系电话：15225098576 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661665393544517,Thu Jul 22 07:45:02 +0800 2021,河南省郑州市崔庙镇,113.330888,34.643464,#河南暴雨互助# #河南暴雨救援# 【 荥阳市王宗店村文化广场】，一对年轻母女(女婴被救大人没有)和一对中年母子被困30多个小时。,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661677599491151,Thu Jul 22 08:33:32 +0800 2021,河南省郑州市崔庙镇,113.330031,34.64436,河南暴雨互助河南暴雨互助 求助帖❗️❗️❗️被困求救地址：荥阳市崔庙镇王宗店村情况：房子塌了，一对母女被困塌房里，现在救援队过不去，路面双向被冲断，母女还被困两个小时了，没有办法，寻求社会帮助，只能皮艇支援!!!!!!电话：13653820035核实时间：12：39 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661688680584054,Thu Jul 22 09:17:34 +0800 2021,河南省郑州市崔庙镇,113.330888,34.643464,TFBOYS战山为王#河南暴雨互助# #河南暴雨救援##河南暴雨互助# 代发，已核实地址：河南省荥阳市王宗店村文化广场（或者搜索南头组）人数：已知三位，还有未知人数情况：我妈和我弟已经被埋在废墟下两天了，请尽快安排救援人员进行施救，时间就是生命超过24个小时，联系电话：15225098576 这个很急求你们踢一下，谢谢大家！,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661359663649368,Wed Jul 21 11:30:10 +0800 2021,河南省郑州市崔庙镇,113.330897,34.643466,#河南为何成为全国强降雨中心# 请帮忙扩散，家里现在由于大水冲断道路，山体滑坡房子夷为平地，目前已知有一对年轻母女（母亲20多岁和一个四个月大女婴），一对中年母子（母亲五十岁和一个十六岁男生），已经被困将近24个小时了，女婴还能听到哭声，请尽快安排救援设备，有救援设备的请联系目前救援队队长救援队长电话：15137399899 受灾地址：河南省荥阳市王宗店村文化广场,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661362162142252,Wed Jul 21 11:40:06 +0800 2021,河南省郑州市崔庙镇,113.330031,34.64436,#河南暴雨互助# 帮转发 急需❗️皮艇❗️❗️❗️“我是河南省荥阳市王宗店村村民，求大家帮帮我的父老乡亲，留在家里的很多都是老年人，现在整个村都跟外界失联，路也已经冲断，求救援  。（一对母女被困，救援队过不去，需要皮艇）” ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661695445995099,Thu Jul 22 09:44:27 +0800 2021,河南省郑州市青屏街街道,113.397572,34.538779,郑州郑州#河南暴雨互助##河南严禁瞒报重要灾情信息# 有物资‼️可救援河南新密❗️❗️❗️枣庄蓝天救援队队长现在正支援河南新密市，这是联系电话18706329958（王伟），无偿提供救援 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661709085606712,Thu Jul 22 10:38:38 +0800 2021,河南省郑州市青屏街街道,113.394278,34.540461,#河南暴雨互助##河南暴雨救援##寻人# 【寻人】【河南郑州暴雨失联人员】寻人启事：刘志浩      男    30岁    身高173     体重75公斤于2021.7.20下午三点左右去郑大一附院河医院区，最后联系是当日下午五点多，有看到此人的速联系刘女士:13592627121。谢谢其妻子已怀孕八个月，目前超过40个小时未联系上，急寻！！！截止2021.7.22日早上10：35分仍未取得联系,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661712583923202,Thu Jul 22 10:52:33 +0800 2021,河南省郑州市青屏街街道,113.331238,34.548665,#河南为何成为全国强降雨中心##河南暴雨互助#截至发博前仍没有消息，麻烦各位继续扩散请大家帮忙找找我的同学，郭萌柯，于昨天下午在新密市荥密路与溱水路交叉口走失，走失时身穿白色T恤黑色裤子，目前一直处于失联状态，拜托各位转发扩散，家人朋友都很担心。联系电话：18838038960/17513160978附带她的照片，希望有所帮助@草莓味二喵 @你的镜仔没改名次数版 @河南消防 @河南卫视 @河南交通广播 @河南气象 @河南日报,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661736722663120,Thu Jul 22 12:28:28 +0800 2021,河南省郑州市青屏街街道,113.366921,34.538698,河南暴雨互助 面对天灾，和@北七小朋友- 尽绵薄之力，早日雨过天晴，同沐暖阳。 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661762006191309,Thu Jul 22 14:08:56 +0800 2021,河南省郑州市青屏街街道,113.379211,34.542105,我以剑网3有爱玩家名义捐赠的50万元已经落地了，这笔款将专项用于河南救灾，西山居还在推进跟小米一起将紧急物资送到前线，希望灾情能早日平息！���,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661846055587270,Thu Jul 22 19:42:55 +0800 2021,河南省郑州市青屏街街道,113.379211,34.542105,已核实标号①【求助人联系电话】15838346341【受困人员信息】43人，一个两岁小孩【现场（伤病，水位）情况】电话接收不了，只能靠无线网联系【地址】荥阳市与新密市交界处二红山附近【登记】十八【核实信息】被困3人，有两岁小孩，被困三天无人救援【核实】拾二【信息汇总】余国梁，准许发布【汇总时间】7月22日19:30分天天向上王一博河南暴雨互助,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661868582929032,Thu Jul 22 21:12:25 +0800 2021,河南省郑州市青屏街街道,113.380177,34.540354,#河南暴雨互助#  （已核实）唐山的到郑州的救援队车辆需要加油 油量可能只能撑到郑州 ❗️物资有130箱纯净水 八十六桶桶装水 一吨左右食物 三百多顶帐篷 一千多件衣物 两大箱一次性充电宝 二十个皮划艇  五十六个车 还有发电机 车都是大排量车 如果有加油桶更好联系电话：17332810059 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661734901549985,Thu Jul 22 12:21:14 +0800 2021,河南省郑州市薛店镇,113.809496,34.503443,求助  待救援‼️‼️#河南暴雨互助# 21君收到一条求助信息，来自郑州阜外路与通商路交叉口全鑫宾馆。积水达到2米深，停水停电，通信信号中断，几十人已经被困2天，水太深出不去，已经2天没吃东西，急需救援，急需救援！！！（求助信息已核实）请@河南交通广播 @河南日报 @河南新闻广播 @河南卫视 @大象新闻 @郑州晚报 @平安郑州 @河南暴雨互助 @郑州发布 关注 更多信息可与21君私信[爱心],,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661811499240600,Thu Jul 22 17:25:36 +0800 2021,河南省郑州市薛店镇,113.809496,34.503443,河南暴雨互助 [爱心]20多辆冲锋艇，需往白沙园区运送物资，紧急征集有经验20多名冲锋艇驾驶员：陈苗苗13598082045集合地点:郑东新区金融智谷2号楼423房间 郑州 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661695450186731,Thu Jul 22 09:44:28 +0800 2021,河南省新乡市牧野镇,113.924756,35.344626,#河南暴雨互助#���新乡市北环牧绿蔬菜批发市场  一楼已被淹 五十多岁的妈妈和九十多岁的姥姥躲避在二楼走廊  姥姥坐轮椅行动不便 已被困一天  又冷又饿  救援电话各各占线  被困人王海莲 联系电话13462240968  手机电量不足 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661741404031842,Thu Jul 22 12:47:04 +0800 2021,河南省新乡市牧野镇,113.932344,35.321859,#新乡暴雨求助# #河南暴雨救援#河南暴雨互助 已核实❗️❗️求求有没有好心人看一下这里！！帮转一下！！信息真实谁家在新乡市新二街牧野花园附近，有氧气瓶的可以借用一下，急救命用，谢谢。联系电话:15903890102 ,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661815961194414,Thu Jul 22 17:43:20 +0800 2021,河南省新乡市牧野镇,113.895233,35.357151,郑州【代发】 #河南暴雨互助#原博xl #河南暴雨救援##新乡暴雨求助# 5：30状态更新，联系上了越野队的朱大姐，目前水越来越深无法抵达现场！（ 朱大姐：136 2647 4805 有皮卡救援车）联系电话：15903851981位置：河南省新乡市牧野区西玛大道159号 小朱庄村(新乡市牧野区)详细内容：6人，3个孩子，2个老人，一个女人，家里淹了，奶孩子去奶奶家，过不去了，水越来越多了�联系上救援队的/附近能帮忙的朋友请尽快与我联系！请勿重复开贴‼️,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661560532795441,Thu Jul 22 00:48:20 +0800 2021,河南省郑州市,113.822274,34.771171,河南暴雨互助 求救�:位于郑州市金水区博学路街道文苑南路未来华庭小区，停水停电没信号已经两天!地下二三层车库水达三米深，长时间浸泡楼房危险增加。物业联系不上，联系供电所说必须积水排空才可以送电。小区周围积水极其严重且没有任何积水褪去现象形成了孤岛，手机都快没电，希望有人来管管。 郑州·未来华庭,,,是,,,,,,,,,,,
https://m.weibo.cn/detail/4661563601978995,Thu Jul 22 01:00:33 +0800 2021,河南省郑州市,113.759384,34.771713,【河南暴雨·救援丨#郑州阜外华中医院被困#：缺食物，正转移重症病人】7月21日下午，陆续有网友开始在社交媒体转发郑州阜外华中心血管医院急需物资的消息。截至21日21时许，阜外华中心血管病医院内的积水仍未退去，当地救援群里有人在求问：“物资怎么送进去？”一位准备往郑州阜外华中心血管医院送物资的国药控股的工作人员告诉澎湃新闻，“我们下午就到医院附近了，但哪里停车呢？”21日晚，来自这家医院的医生告诉澎湃新闻，已有武警官兵前往医院开始救援，已经开始有秩序地转移重症病人，但目前最缺的还是食品，还需要进行人员转运，“现在医务人员出不去”。河南暴雨·救援丨郑州阜外华中医院被困：缺食物，正转移重症病人 #河南暴雨互助#,,,是,,,,,,,,,,,
